,District,FNN,TLNN,SANN,LSTM,ARIMA,Best method,Min RMSE
0,Ahmadnagar,47.758,49.099,59.038000000000004,43.626000000000005,46.97,LSTM,43.626000000000005
1,Akola,69.053,66.11399999999999,71.408,53.474,55.675,LSTM,53.474
2,Amravati,66.672,66.035,71.407,52.285,54.556000000000004,LSTM,52.285
3,Aurangabad,49.483,49.096,56.25100000000001,41.451,40.869,ARIMA,40.869
4,Bhandara,74.764,71.05199999999998,88.694,55.105,54.675,ARIMA,54.675
5,Bid,49.097,49.271,56.658,38.846,39.095,LSTM,38.846
6,Buldana,63.31399999999999,62.714,67.108,49.908,50.733000000000004,LSTM,49.908
7,Chandrapur,65.068,61.047,84.626,47.17100000000001,49.873000000000005,LSTM,47.17100000000001
8,Dhule,64.983,65.965,86.818,64.913,78.134,LSTM,64.913
9,Garhchiroli,63.512,61.494,77.557,43.00899999999999,48.285,LSTM,43.00899999999999
10,Gondiya,70.866,66.882,93.964,67.298,55.019,ARIMA,55.019
11,Hingoli,74.57300000000002,73.48899999999998,81.52600000000002,56.791,56.431000000000004,ARIMA,56.431000000000004
12,Jalgaon,48.833,48.21,56.57,43.073,46.47,LSTM,43.073
13,Jalna,59.674,59.435,64.442,47.22,45.198,ARIMA,45.198
14,Kolhapur,113.536,123.275,152.999,111.535,115.524,LSTM,111.535
15,Latur,55.32100000000001,54.591,63.768,47.973,45.396,ARIMA,45.396
16,Nagpur,70.312,69.007,79.971,50.949,52.486000000000004,LSTM,50.949
17,Nanded,72.331,71.87899999999998,81.837,56.827,55.923,ARIMA,55.923
18,Nandurbar,91.834,91.274,121.656,83.54299999999998,106.34899999999999,LSTM,83.54299999999998
19,Nashik,71.416,72.482,102.867,64.235,79.613,LSTM,64.235
20,Osmanabad,42.573,43.56399999999999,53.93,37.427,38.918,LSTM,37.427
21,Parbhani,62.067,62.471,69.514,48.17,47.121,ARIMA,47.121
22,Pune,82.375,86.34700000000002,104.159,76.762,84.78,LSTM,76.762
23,Sangli,59.162,60.202,80.89699999999998,58.075,66.434,LSTM,58.075
24,Satara,95.16,104.199,132.68200000000002,88.26100000000002,98.919,LSTM,88.26100000000002
25,Solapur,38.37300000000001,39.726,50.344,37.116,39.367,LSTM,37.116
26,Wardha,69.328,67.098,79.39699999999998,50.393,53.195,LSTM,50.393
27,Washim,74.961,73.717,79.78699999999998,60.324,59.43899999999999,ARIMA,59.43899999999999
28,Yavatmal,71.10300000000002,68.443,83.48200000000001,54.389,55.533,LSTM,54.389
